noise_level,replicate,method,success,vmax,km,r2,vmax_relative_error,km_relative_error,reason
0.0,18,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,19,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,19,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,20,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,20,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,21,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,21,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,22,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,22,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,23,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,23,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,24,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,24,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,25,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,25,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,26,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,26,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,27,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,27,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,28,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,28,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,29,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,29,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,30,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,30,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,31,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,31,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,32,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,32,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
0.0,33,nonlinear,True,99.99999999999933,4.999999999999844,1.0,6.679101716144941e-15,3.126388037344441e-14,
0.0,33,lineweaver_burk,True,99.99999999999994,5.0,1.0,5.684341886080802e-16,0.0,
